Item#,Qty,Product #,Product Description,Config Name,Solution Id,Support For,CLIC Status,Unit Price (USD) ,Extended List Price (USD),Expert BOM Comment,NOTES
100,1,R4K98A,HPE Cray EX Base System Code,Cray EX #1,20102,,Unbuildable,1,1,,
200,1,R9Y36A,HPE Cray Solution Cable Accessories Code,Cray EX #1,20103,,Warning,1,1,,
201,8,R9F75A,Aruba 100G QSFP28 MPO SR4 MMF Transceiver for HPE,Cray EX #1,20103,,,2425,19400,,
,8,R9F75A      0D1,Factory Integrated,Cray EX #1,20103,,,0,0,,
202,4,Q1H66A,HPE Premier Flex MPO/MPO Multi-mode OM4 12 Fiber 15m Cable,Cray EX #1,20103,,,700,2800,,
,4,Q1H66A      0D1,Factory Integrated,Cray EX #1,20103,,,0,0,,
203,4,R9F77A,HPE Aruba Networking 100G QSFP28 to QSFP28 1m Direct Attach Copper Cable,Cray EX #1,20103,,,541,2164,,
,4,R9F77A      B01,HPE Aruba Networking 100G QSFP28 to QSFP28 1m Direct Attach Copper Cable,Cray EX #1,20103,,,0,0,,
204,1,R9F91A,HPE Aruba Networking 25G SFP28 to SFP28 0.65m Direct Attach Copper Cable,Cray EX #1,20103,,,289,289,,
,1,R9F91A      B01,HPE Aruba Networking 25G SFP28 to SFP28 0.65m Direct Attach Copper Cable,Cray EX #1,20103,,,0,0,,
205,10,R9F92A,HPE Aruba Networking 25G SFP28 to SFP28 3m Direct Attach Copper Cable,Cray EX #1,20103,,,409,4090,,
,10,R9F92A      B01,HPE Aruba Networking 25G SFP28 to SFP28 3m Direct Attach Copper Cable,Cray EX #1,20103,,,0,0,,
206,1,Q1Q95A,HPE SGI Gigabit Ethernet Cat 5E/6A RJ45 1.8m Cable,Cray EX #1,20103,,,36,36,,
,1,Q1Q95A      0D1,Factory Integrated,Cray EX #1,20103,,,0,0,,
207,4,Q1Q96A,HPE SGI Gigabit Ethernet Cat 5E/6A RJ45 3m Cable,Cray EX #1,20103,,,44,176,,
,4,Q1Q96A      0D1,Factory Integrated,Cray EX #1,20103,,,0,0,,
300,1,P9K46A,HPE 42U 800mmx1200mm G2 Enterprise Shock Rack,42U 800mm x 1200mm Ent G2 #1,20101,,,6600,6600,,1 Shock Rack for customer testing
,1,P9K46A      001,HPE Factory Express Base Racking Service,42U 800mm x 1200mm Ent G2 #1,20101,,,8300,8300,,
301,1,S1F67A,HPE Cray Custom FIO Solution,42U 800mm x 1200mm Ent G2 #1,20101,,,1,1,,
400,1,R9F63A,HPE Aruba Networking CX 6300M 48G Power-to-Port Airflow 2 Fans 1 Power Supply Unit Bundle,1GbE Switch#1,20101,,,13039,13039,,6300 spine switch
,1,R9F63A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
,1,R9F63A      B2B,HPE Aruba Networking CX 6300M 48G Power-to-Port Airflow 2 Fans 1 Power Supply Unit Bundle PDU,1GbE Switch#1,20101,,,0,0,,
401,2,R9F85A,Aruba 10GBASE-T SFP+ RJ45 30m Cat6A Transceiver for HPE,1GbE Switch#1,20101,,,1739,3478,,
,2,R9F85A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
402,1,R9F61A,HPE Aruba Networking CX 6300M 12VDC 250W 100-240VAC Power-to-Port Airflow Power Supply Unit,1GbE Switch#1,20101,,,689,689,,
,1,R9F61A      B2B,HPE Aruba Networking CX 6300M 12VDC 250W 100-240VAC Power-to-Port Airflow Power Supply Unit PDU,1GbE Switch#1,20101,,,0,0,,
,1,R9F61A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
500,2,R9G23A,HPE Aruba Networking 8360-48Y6C v2 Power-to-Port Airflow 5 Fans 2 PSU Attached Bundle,Spine Switch,20101,,,46645,93290,,2 8360 leaf switches
,2,R9G23A      0D1,Factory Integrated,Spine Switch,20101,,,0,0,,
,2,R9G23A      B2B,HPE Aruba Networking 8360-48Y6C v2 Power-to-Port Airflow 5 Fans 2 PSU Attached Bundle PDU,Spine Switch,20101,,,0,0,,
600,9,P54199-B21,HPE ProLiant DL325 Gen11 8SFF Configure-to-order Server,DL325 Gen11  #2,20101,,Unbuildable,2767,24903,,9 DL325s for development
,9,P54199-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
,9,P54199-B21  ABA,HPE DL325 Gen11 8SFF CTO Svr,DL325 Gen11  #2,20101,,,0,0,,
601,9,P53704-B21,AMD EPYC 9354P 3.25GHz 32-core 280W Processor for HPE,DL325 Gen11  #2,20101,,,5870,52830,,
,9,P53704-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
602,108,P50311-B21,HPE 32GB (1x32GB) Dual Rank x8 DDR5-4800 CAS-40-39-39 EC8 Registered Smart Memory Kit,DL325 Gen11  #2,20101,,,1981,213948,,
,108,P50311-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
603,9,P54999-B21,HPE ProLiant DL325 Gen11 8SFF x1 Tri-Mode U.3 Backplane Kit,DL325 Gen11  #2,20101,,,364,3276,,
,9,P54999-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
604,72,P64848-B21,HPE 7.68TB NVMe Gen4 Mainstream Performance Read Intensive SFF BC U.3 Static V2 Multi Vendor SSD,DL325 Gen11  #2,20101,,,6921,498312,,
,72,P64848-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
605,9,P55029-B21,HPE ProLiant DL3X5 Gen11 1U x16 Low Profile Secondary Riser Kit,DL325 Gen11  #2,20101,,,477,4293,,
,9,P55029-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
606,9,P26253-B21,Broadcom BCM57416 Ethernet 10Gb 2-port BASE-T Adapter for HPE,DL325 Gen11  #2,20101,,,1105,9945,,
,9,P26253-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
607,9,P47785-B21,HPE MR216i-p Gen11 x16 Lanes without Cache PCI SPDM Plug-in Storage Controller,DL325 Gen11  #2,20101,,,2005,18045,,
,9,P47785-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
608,18,P10115-B21,Broadcom BCM57414 Ethernet 10/25Gb 2-port SFP28 OCP3 Adapter for HPE,DL325 Gen11  #2,20101,,,1231,22158,,
,18,P10115-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
609,63,P58462-B21,HPE ProLiant DL3XX Gen11 1U Performance Fan Kit,DL325 Gen11  #2,20101,,,113,7119,,
,63,P58462-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
610,18,P03178-B21,HPE 1000W Flex Slot Titanium Hot Plug Power Supply Kit,DL325 Gen11  #2,20101,,,891,16038,,
,18,P03178-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
611,9,512485-B21,HPE iLO Advanced 1-server License with 1yr Support on iLO Licensed Features,DL325 Gen11  #2,20101,,Warning,399,3591,,
,9,512485-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
612,9,P57009-B21,HPE ProLiant DL325 Gen11 8SFF x1 Secondary Tri-Mode Cable Kit,DL325 Gen11  #2,20101,,,222,1998,,
,9,P57009-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
613,9,P52351-B21,HPE DL3XX Gen11 Easy Install Rail 2 Kit,DL325 Gen11  #2,20101,,,141,1269,,
,9,P52351-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
614,9,P58457-B21,HPE ProLiant DL3X5 Gen11 CPU Performance 1U Heat Sink Kit,DL325 Gen11  #2,20101,,,225,2025,,
,9,P58457-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
700,1,S2E06A,HPE v3 Fabric Manager Node,Fabric,20101,,,24472,24472,,1 FMN
,1,S2E06A      0D1,Factory Integrated,Fabric,20101,,,0,0,,
701,1,P10115-B21,Broadcom BCM57414 Ethernet 10/25Gb 2-port SFP28 OCP3 Adapter for HPE,Fabric,20101,,Unbuildable,1231,1231,,
,1,P10115-B21  0D1,Factory Integrated,Fabric,20101,,,0,0,,
800,1,P9L11A,HPE G2 Rack Grounding Kit,42U 800mm x 1200mm Ent G2 #1,20101,,,175,175,,
,1,P9L11A      0D1,Factory Integrated,42U 800mm x 1200mm Ent G2 #1,20101,,,0,0,,
900,1,P9L12A,HPE G2 Rack Baying Kit,42U 800mm x 1200mm Ent G2 #1,20101,,,98,98,,
,1,P9L12A      B01,HPE G2 Rack Baying Kit,42U 800mm x 1200mm Ent G2 #1,20101,,,0,0,,
1000,1,P9L16A,HPE G2 Rack 42U 1200mm Side Panel Kit,42U 800mm x 1200mm Ent G2 #1,20101,,,1190,1190,,
,1,P9L16A      0D1,Factory Integrated,42U 800mm x 1200mm Ent G2 #1,20101,,,0,0,,
1100,1,R4N32A,HPE Cray Supercomputer Temperature/Humidity Probe for Smart PDU,42U 800mm x 1200mm Ent G2 #1,20101,,,176,176,,
,1,R4N32A      0D1,Factory Integrated,42U 800mm x 1200mm Ent G2 #1,20101,,,0,0,,
1200,2,R4N79A,HPE Cray Supercomputer 60A 208V 3 Phase Master 12 CX PDU,42U 800mm x 1200mm Ent G2 #1,20101,,,9896,19792,,
,2,R4N79A      0D1,Factory Integrated,42U 800mm x 1200mm Ent G2 #1,20101,,,0,0,,
1300,1,BW933A,HPE 800mm Rack Stabilizer Kit,42U 800mm x 1200mm Ent G2 #1,20101,,,621,621,,
,1,BW933A      B01,HPE 800mm Rack Stabilizer Include with complete system Kit,42U 800mm x 1200mm Ent G2 #1,20101,,,0,0,,
1400,1,R9F60A,HPE Aruba Networking Universal 4-post Duct Kit,1GbE Switch#1,20101,,,805,805,,
,1,R9F60A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
1500,3,S0E74A,HPE Cray Universal Rail Kit for Aruba Switches,1GbE Switch#1,20101,,,581,1743,,
,3,S0E74A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
1600,2,R4L81A,HPE Cray EX Advanced Rack 600mm Left Top Panel Kit,Cray EX #1,20001,,,917,1834,,
1700,1,R4L83A,HPE Cray EX Advanced Rack 800mm Top Panel Kit,Cray EX #1,20001,,,1479,1479,,
,,,,,,,,,,,
Total,,,,,,,,,,1087720,USD
